'RK’,'depth’
1403.5547,64.18116
1405.0765,65.05884
1406.9296,65.87378
1409.0489,65.79292
1411.36717,65.55081
1413.71828,65.45201
1416.13546,65.45174
1418.48622,65.61272
1420.83734,65.50496
1423.25323,66.41837
1425.76846,67.30489
1428.15185,67.81521
1430.2392,66.99087
1432.15912,67.42958
1434.21231,67.28603
1436.16725,66.42588
1437.95612,65.89718
1439.91073,65.25201
1441.83106,65.38616
1443.6515,65.88758
1445.14067,66.48758
1446.59858,65.85142
1448.22093,65.95873
1449.77559,67.04243
1451.06676,67.19456
1452.6558,67.43624
1454.57609,67.59726
1456.1994,67.06857
1457.72419,65.99348
1459.18206,65.3842
1460.60625,65.15114
1462.09552,65.67947
1463.58415,66.63778
1465.43772,67.12129
1467.42225,68.59908
1469.40609,70.53371
1471.22765,70.29165
1473.64367,71.08861
1476.09274,71.93036
1478.87331,72.52125
1481.62144,72.66426
1484.60122,72.89683
1487.58108,73.07565
1490.5279,73.20968
1493.31112,72.03592
1496.19321,71.17566
1498.87483,71.5068
1501.357442,72.0619
1503.906286,72.60803
1506.12387,73.24378
1508.737902,74.47965
